name,palette,source
Alacena,"['#693829FF', '#894B33FF', '#A56A3EFF', '#CFB267FF', '#D9C5B6FF', '#9CA9BAFF', '#5480B5FF', '#3D619DFF', '#405A95FF', '#345084FF']",MexBrewer
Huida,"['#752305FF', '#AC420AFF', '#CE8A37FF', '#F8CA7CFF', '#FFDE90FF', '#76A1CDFF', '#4E79A5FF', '#1B3A6BFF', '#0D1D3CFF', '#060B1FFF']",MexBrewer
Maiz,"['#1A2021FF', '#2F3536FF', '#555C4EFF', '#A5A79EFF', '#D2D7D1FF', '#9BC3C9FF', '#7CB0C1FF', '#3D72A2FF', '#144979FF', '#003464FF']",MexBrewer
Ofrenda,"['#593722FF', '#834D24FF', '#AB5D26FF', '#C3722AFF', '#E1C473FF', '#E6DAB9FF', '#A4B591FF', '#55804DFF', '#416C39FF', '#2C5724FF']",MexBrewer
Revolucion,"['#871C0FFF', '#AF2213FF', '#D9792EFF', '#F4C659FF', '#F9F2D8FF', '#F0F6EBFF', '#6FC0BAFF', '#368990FF', '#244E57FF', '#22394AFF']",MexBrewer
Ronda,"['#49295FFF', '#894D9FFF', '#BD6DC2FF', '#DA91E0FF', '#E2A9DCFF', '#C19A8DFF', '#B2877DFF', '#A26867FF', '#964754FF', '#7E3146FF']",MexBrewer
Vendedora,"['#26322CFF', '#384D3FFF', '#777768FF', '#A6B2A5FF', '#E3EFE2FF', '#FFD480FF', '#E09743FF', '#D25A3EFF', '#D42538FF', '#A6162BFF']",MexBrewer
Doughton,"['#155B51FF', '#216F63FF', '#2D8277FF', '#3A9387FF', '#45A395FF', '#C468B2FF', '#AF509CFF', '#803777FF', '#5D2155FF', '#45113FFF']",MoMAColors
pal_unikn_web,"['#00A9E0FF', '#59C7EBFF', '#A6E1F4FF', '#CCEEF9FF', '#FFFFFFFF', '#E5E5E5FF', '#CCCCCCFF', '#999999FF', '#666666FF', '#000000FF']",unikn
pal_unikn_ppt,"['#009AD1FF', '#59B6DCFF', '#A0D3E6FF', '#C8E5EFFF', '#FFFFFFFF', '#E5E5E5FF', '#CCCCCCFF', '#999999FF', '#666666FF', '#000000FF']",unikn
ModifiedSpectralScheme11Steps,"['#A50021FF', '#D82632FF', '#F76D5EFF', '#FFAD72FF', '#FFE099FF', '#FFFFBFFF', '#E0FFFFFF', '#AAF7FFFF', '#72D8FFFF', '#3FA0FFFF', '#264CFFFF']",colorBlindness
sunset,"['#364B9AFF', '#4A7BB7FF', '#6EA6CDFF', '#98CAE1FF', '#C2E4EFFF', '#EAECCCFF', '#FEDA8BFF', '#FDB366FF', '#F67E4BFF', '#DD3D2DFF', '#A50026FF']",khroma
Avedon,"['#FF7200FF', '#FF8827FF', '#FF9C4CFF', '#FFB274FF', '#F1CAA8FF', '#E3E1DCFF', '#C2CEAAFF', '#A1BA77FF', '#8BAC54FF', '#7EA13EFF', '#648C16FF']",MoMAColors
Kippenberger,"['#8B174DFF', '#AE2565FF', '#C1447EFF', '#D06C9BFF', '#DA9FB8FF', '#D9D2CCFF', '#ADBE7CFF', '#8BA749FF', '#6E8537FF', '#4F5F28FF', '#343D1FFF']",MoMAColors
Picabia,"['#53362EFF', '#744940FF', '#9F7064FF', '#C99582FF', '#E6BCACFF', '#E2D8D6FF', '#A5A6AEFF', '#858794FF', '#666879FF', '#515260FF', '#3D3D47FF']",MoMAColors
BrBG,"['#543005FF', '#8C510AFF', '#BF812DFF', '#DFC27DFF', '#F6E8C3FF', '#F5F5F5FF', '#C7EAE5FF', '#80CDC1FF', '#35978FFF', '#01665EFF', '#003C30FF']",RColorBrewer
PiYG,"['#8E0152FF', '#C51B7DFF', '#DE77AEFF', '#F1B6DAFF', '#FDE0EFFF', '#F7F7F7FF', '#E6F5D0FF', '#B8E186FF', '#7FBC41FF', '#4D9221FF', '#276419FF']",RColorBrewer
PRGn,"['#40004BFF', '#762A83FF', '#9970ABFF', '#C2A5CFFF', '#E7D4E8FF', '#F7F7F7FF', '#D9F0D3FF', '#A6DBA0FF', '#5AAE61FF', '#1B7837FF', '#00441BFF']",RColorBrewer
PuOr,"['#7F3B08FF', '#B35806FF', '#E08214FF', '#FDB863FF', '#FEE0B6FF', '#F7F7F7FF', '#D8DAEBFF', '#B2ABD2FF', '#8073ACFF', '#542788FF', '#2D004BFF']",RColorBrewer
RdBu,"['#67001FFF', '#B2182BFF', '#D6604DFF', '#F4A582FF', '#FDDBC7FF', '#F7F7F7FF', '#D1E5F0FF', '#92C5DEFF', '#4393C3FF', '#2166ACFF', '#053061FF']",RColorBrewer
RdGy,"['#67001FFF', '#B2182BFF', '#D6604DFF', '#F4A582FF', '#FDDBC7FF', '#FFFFFFFF', '#E0E0E0FF', '#BABABAFF', '#878787FF', '#4D4D4DFF', '#1A1A1AFF']",RColorBrewer
RdYlBu,"['#A50026FF', '#D73027FF', '#F46D43FF', '#FDAE61FF', '#FEE090FF', '#FFFFBFFF', '#E0F3F8FF', '#ABD9E9FF', '#74ADD1FF', '#4575B4FF', '#313695FF']",RColorBrewer
RdYlGn,"['#A50026FF', '#D73027FF', '#F46D43FF', '#FDAE61FF', '#FEE08BFF', '#FFFFBFFF', '#D9EF8BFF', '#A6D96AFF', '#66BD63FF', '#1A9850FF', '#006837FF']",RColorBrewer
dPBIYlBu,"['#796409FF', '#B6960DFF', '#F5D341FF', '#F7DE70FF', '#FAE9A0FF', '#F5F5F5FF', '#D0EEF7FF', '#B9E5F3FF', '#A1DDEFFF', '#689FB0FF', '#456A76FF']",Redmonder
dPBIYlPu,"['#796409FF', '#B6960DFF', '#F5D341FF', '#F7DE70FF', '#FAE9A0FF', '#F5F5F5FF', '#DBC3D6FF', '#CAA5C2FF', '#B887ADFF', '#7D4F73FF', '#53354DFF']",Redmonder
dPBIPuGn,"['#53354DFF', '#7D4F73FF', '#B887ADFF', '#CAA5C2FF', '#DBC3D6FF', '#F5F5F5FF', '#99E3DDFF', '#66D4CCFF', '#33C6BBFF', '#008A80FF', '#005C55FF']",Redmonder
dPBIPuOr,"['#53354DFF', '#7D4F73FF', '#B887ADFF', '#CAA5C2FF', '#DBC3D6FF', '#F5F5F5FF', '#FFD5C2FF', '#FEC0A3FF', '#FEAB85FF', '#BF714DFF', '#7F4B33FF']",Redmonder
dPBIRdBu,"['#7F312FFF', '#BE4A47FF', '#FD817EFF', '#FEA19EFF', '#FEC0BFFF', '#F5F5F5FF', '#D0EEF7FF', '#B9E5F3FF', '#A1DDEFFF', '#689FB0FF', '#456A76FF']",Redmonder
dPBIRdGy,"['#7F312FFF', '#BE4A47FF', '#FD817EFF', '#FEA19EFF', '#FEC0BFFF', '#F5F5F5FF', '#AFB5B6FF', '#879092FF', '#5F6B6DFF', '#293537FF', '#1C2325FF']",Redmonder
dPBIRdGn,"['#7F312FFF', '#BE4A47FF', '#FD817EFF', '#FEA19EFF', '#FEC0BFFF', '#F5F5F5FF', '#99E3DDFF', '#66D4CCFF', '#33C6BBFF', '#008A80FF', '#005C55FF']",Redmonder
pal_unikn,"['#008ECEFF', '#00A9E0FF', '#59C7EBFF', '#A6E1F4FF', '#CCEEF9FF', '#FFFFFFFF', '#E5E5E5FF', '#CCCCCCFF', '#999999FF', '#666666FF', '#000000FF']",unikn
Blue2DarkOrange12Steps,"['#1E8E99FF', '#51C3CCFF', '#99F9FFFF', '#B2FCFFFF', '#CCFEFFFF', '#E5FFFFFF', '#FFE5CCFF', '#FFCA99FF', '#FFAD65FF', '#FF8E32FF', '#CC5800FF', '#993F00FF']",colorBlindness
Blue2DarkRed12Steps,"['#290AD8FF', '#264DFFFF', '#3FA0FFFF', '#72D9FFFF', '#AAF7FFFF', '#E0FFFFFF', '#FFFFBFFF', '#FFE099FF', '#FFAD72FF', '#F76D5EFF', '#D82632FF', '#A50021FF']",colorBlindness
Blue2Orange12Steps,"['#002AFFFF', '#1965FFFF', '#3299FFFF', '#65CCFFFF', '#99EDFFFF', '#CCFFFFFF', '#FFFFCCFF', '#FFEE99FF', '#FFCC65FF', '#FF9932FF', '#FF6619FF', '#FF2A00FF']",colorBlindness
Brown2Blue12Steps,"['#331900FF', '#662F00FF', '#996035FF', '#CC9B7AFF', '#D8AF97FF', '#F2DACDFF', '#CCFDFFFF', '#99F8FFFF', '#65EFFFFF', '#32E3FFFF', '#00A9CCFF', '#007A99FF']",colorBlindness
BrowntoBlue_12,"['#331A00FF', '#663000FF', '#996136FF', '#CC9B7AFF', '#D9AF98FF', '#F2DACEFF', '#CCFDFFFF', '#99F8FFFF', '#66F0FFFF', '#33E4FFFF', '#00AACCFF', '#007A99FF']",dichromat
BluetoDarkOrange_12,"['#1F8F99FF', '#52C4CCFF', '#99FAFFFF', '#B2FCFFFF', '#CCFEFFFF', '#E6FFFFFF', '#FFE6CCFF', '#FFCA99FF', '#FFAD66FF', '#FF8F33FF', '#CC5800FF', '#994000FF']",dichromat
DarkRedtoBlue_12,"['#2A0BD9FF', '#264EFFFF', '#40A1FFFF', '#73DAFFFF', '#ABF8FFFF', '#E0FFFFFF', '#FFFFBFFF', '#FFE099FF', '#FFAD73FF', '#F76E5EFF', '#D92632FF', '#A60021FF']",dichromat
BluetoOrange_12,"['#002BFFFF', '#1A66FFFF', '#3399FFFF', '#66CCFFFF', '#99EEFFFF', '#CCFFFFFF', '#FFFFCCFF', '#FFEE99FF', '#FFCC66FF', '#FF9933FF', '#FF661AFF', '#FF2B00FF']",dichromat
default_gsea,"['#4500ADFF', '#2700D1FF', '#6B58EFFF', '#8888FFFF', '#C7C1FFFF', '#D5D5FFFF', '#FFC0E5FF', '#FF8989FF', '#FF7080FF', '#FF5A5AFF', '#EF4040FF', '#D60C00FF']",ggsci
Blue2Green14Steps,"['#0000FFFF', '#3333FFFF', '#6565FFFF', '#9999FFFF', '#B2B2FFFF', '#CBCBFFFF', '#E5E5FFFF', '#E5FFE5FF', '#CBFFCBFF', '#B2FFB2FF', '#99FF99FF', '#65FF65FF', '#33FF33FF', '#00FF00FF']",colorBlindness
Blue2OrangeRed14Steps,"['#075AFFFF', '#3276FFFF', '#5990FFFF', '#8CB2FFFF', '#BFD4FFFF', '#E5EEFFFF', '#F7F9FFFF', '#FFFFCCFF', '#FFFF99FF', '#FFFF00FF', '#FFCC00FF', '#FF9900FF', '#FF6600FF', '#FF0000FF']",colorBlindness
BluetoGreen_14,"['#0000FFFF', '#3333FFFF', '#6666FFFF', '#9999FFFF', '#B2B2FFFF', '#CCCCFFFF', '#E6E6FFFF', '#E6FFE6FF', '#CCFFCCFF', '#B2FFB2FF', '#99FF99FF', '#66FF66FF', '#33FF33FF', '#00FF00FF']",dichromat
BluetoOrangeRed_14,"['#085AFFFF', '#3377FFFF', '#5991FFFF', '#8CB2FFFF', '#BFD4FFFF', '#E6EEFFFF', '#F7FAFFFF', '#FFFFCCFF', '#FFFF99FF', '#FFFF00FF', '#FFCC00FF', '#FF9900FF', '#FF6600FF', '#FF0000FF']",dichromat
Green2Magenta16Steps,"['#005000FF', '#008600FF', '#00BB00FF', '#00F100FF', '#50FF50FF', '#86FF86FF', '#BBFFBBFF', '#FFFFFFFF', '#FFF1FFFF', '#FFBBFFFF', '#FF86FFFF', '#FF50FFFF', '#F100F1FF', '#BB00BBFF', '#860086FF', '#500050FF']",colorBlindness
GreentoMagenta_16,"['#005100FF', '#008600FF', '#00BC00FF', '#00F100FF', '#51FF51FF', '#86FF86FF', '#BCFFBCFF', '#FFFFFFFF', '#FFF1FFFF', '#FFBCFFFF', '#FF86FFFF', '#FF51FFFF', '#F100F1FF', '#BC00BCFF', '#860086FF', '#510051FF']",dichromat
