name,palette,source,kind,paletteer-kind
Batlow,"['#201158FF', '#1A1758FF', '#131C59FF', '#0A2059FF', '#00245AFF', '#00285BFF', '#002B5BFF', '#002E5CFF', '#00315DFF', '#00345DFF', '#00375EFF', '#003A5EFF', '#003D5FFF', '#00405FFF', '#004360FF', '#004560FF', '#004860FF', '#004B60FF', '#004D60FF', '#005060FF', '#005260FF', '#005560FF', '#005760FF', '#005A5FFF', '#005C5FFF', '#005E5EFF', '#00615DFF', '#00635CFF', '#00655BFF', '#00675AFF', '#006959FF', '#006B57FF', '#006E56FF', '#007054FF', '#007253FF', '#007451FF', '#00754FFF', '#00774DFF', '#00794AFF', '#007B48FF', '#007D45FF', '#007E42FF', '#00803FFF', '#10823CFF', '#228339FF', '#2F8535FF', '#398631FF', '#42882DFF', '#4B8929FF', '#538B24FF', '#5A8C1EFF', '#628D18FF', '#698E11FF', '#708F07FF', '#769100FF', '#7D9200FF', '#839300FF', '#8A9400FF', '#909500FF', '#969500FF', '#9D9600FF', '#A39700FF', '#A99800FF', '#AF9800FF', '#B59901FF', '#BB990FFF', '#C19A1BFF', '#C69A24FF', '#CC9B2EFF', '#D19B3AFF', '#D69C45FF', '#DA9C4FFF', '#DF9D58FF', '#E39E61FF', '#E79E69FF', '#EB9F71FF', '#EFA079FF', '#F2A181FF', '#F6A288FF', '#F9A390FF', '#FCA497FF', '#FEA59EFF', '#FFA6A4FF', '#FFA8ABFF', '#FFA9B1FF', '#FFABB8FF', '#FFACBEFF', '#FFAEC4FF', '#FFB0C9FF', '#FFB2CFFF', '#FFB4D4FF', '#FFB7D9FF', '#FFB9DEFF', '#FFBCE2FF', '#FFBEE7FF', '#FFC1EAFF', '#FFC4EEFF', '#FFC7F1FF', '#FFCAF3FF', '#FFCEF4FF']",The R package: {grDevices},sequential-1,discrete-sequential
Bay,"['#00496FFF', '#0F85A0FF', '#EDD746FF', '#ED8B00FF', '#DD4124FF']",The R package: {PNWColors},qualitative,discrete-qualitative
Beach,"['#0E7C7BFF', '#17BEBBFF', '#D4F4DDFF', '#D62246FF', '#4B1D3FFF']",The R package: {PrettyCols},qualitative,discrete-qualitative
Bears,"['#080808FF', '#442C2CFF', '#50080CFF', '#483838FF', '#685444FF', '#746050FF', '#54382CFF', '#8C6858FF', '#AC745CFF', '#442C38FF', '#584844FF', '#70544CFF', '#08081CFF', '#686054FF', '#807460FF', '#A48868FF', '#787474FF', '#88806CFF', '#CCA070FF', '#DCB87CFF', '#68646CFF', '#78748CFF', '#807C8CFF', '#808498FF', '#8490A4FF', '#CCAC7CFF', '#9098A8FF', '#E0C488FF', '#8898ACFF', '#909CB0FF', '#CCB898FF', '#94A4B8FF', '#E4D4A4FF', '#600808FF', '#747080FF', '#907460FF', '#84847CFF', '#E0DCC0FF', '#806854FF', '#382828FF', '#543838FF', '#E4D094FF', '#C4906CFF', '#A07C64FF', '#60504CFF', '#381818FF', '#946050FF', '#8C3810FF', '#3C080CFF', '#E0D8B0FF', '#A0A8B8FF', '#3C3434FF', '#9898A0FF', '#D0B888FF', '#B89870FF', '#D8AC74FF', '#DCC898FF', '#580820FF', '#5C3844FF', '#440C2CFF', '#180808FF', '#80544CFF', '#C07814FF', '#180C1CFF', '#381828FF', '#ECE8C0FF', '#949480FF', '#948870FF', '#706C60FF', '#8C282CFF', '#500C30FF', '#886448FF', '#502C30FF', '#706874FF', '#480C24FF', '#7C2420FF', '#2C1428FF', '#684844FF', '#382818FF', '#845C50FF', '#8C8494FF', '#684438FF', '#B84008FF', '#2C0808FF', '#442C1CFF', '#70080CFF', '#1C1828FF', '#5C282CFF', '#280818FF', '#704444FF', '#380824FF', '#805438FF', '#906848FF', '#64200CFF', '#B01C08FF', '#44242CFF', '#986C50FF', '#786040FF', '#740824FF', '#582C38FF', '#DCD0B8FF', '#5C4438FF', '#E4E4CCFF', '#7C382CFF', '#B48868FF', '#CC8810FF', '#986048FF', '#502808FF', '#580C3CFF', '#503C44FF', '#ACACACFF', '#A47454FF', '#8C8C9CFF', '#7C5844FF', '#9C705CFF', '#7C7884FF', '#4C2C38FF', '#7C2408FF', '#78482CFF', '#483840FF', '#F0F4D4FF', '#AC805CFF', '#D8CCA8FF', '#B05C0CFF', '#5C3838FF', '#2C1818FF', '#884C40FF', '#744438FF', '#2C2828FF', '#E8F0ECFF', '#603C30FF', '#A87448FF', '#7C3C14FF', '#642838FF', '#704C3CFF', '#180828FF', '#48382CFF', '#C0A884FF', '#98A0ACFF', '#E8E0B0FF', '#F8FCECFF', '#9C3808FF', '#A06454FF', '#8C7454FF', '#080830FF', '#88442CFF', '#680C30FF', '#784C44FF', '#E4E4DCFF', '#B0AC9CFF', '#BC8C60FF', '#AC5028FF', '#2C1C28FF', '#7C243CFF', '#8C1C4CFF', '#584850FF', '#2C0828FF', '#B8683CFF', '#845840FF', '#A06848FF', '#7C4C40FF', '#5C0C30FF', '#B8B4B4FF', '#684830FF', '#2C281CFF', '#382C38FF', '#240C30FF', '#602C24FF', '#C0C0C0FF', '#A4B0C0FF', '#BC8060FF', '#A05448FF', '#6C3834FF', '#AC9C80FF', '#944818FF', '#A4A0A4FF', '#502438FF', '#9C5408FF', '#98805CFF', '#901030FF', '#980808FF', '#4C341CFF', '#94280CFF', '#DCDCD0FF', '#68383CFF', '#804040FF', '#441C38FF', '#D0C0A0FF', '#88888CFF', '#2C2438FF', '#2C2810FF', '#945038FF', '#78480CFF', '#504438FF', '#945C2CFF', '#BCB8A0FF', '#9CA08CFF', '#701428FF', '#90584CFF', '#C0B490FF', '#B4C8BCFF', '#38383CFF', '#484448FF', '#683C20FF', '#944044FF', '#AC7024FF', '#D4CCC0FF', '#90603CFF', '#70242CFF', '#382438FF', '#743840FF', '#949094FF', '#ACA090FF', '#0C3C48FF', '#604008FF', '#804848FF', '#242828FF', '#74300CFF', '#702838FF', '#A8603CFF', '#C4C0ACFF', '#B8A880FF', '#605C64FF', '#CCD4BCFF', '#5C1828FF', '#846410FF', '#CCD8CCFF', '#BC7C44FF', '#9C3C2CFF', '#4C1C18FF', '#5C5854FF', '#CC9864FF', '#883440FF', '#545048FF', '#5C4C20FF', '#1C2410FF', '#8C5444FF', '#380C38FF', '#845410FF', '#54281CFF', '#2C4850FF', '#C48858FF', '#AC6050FF', '#840C0CFF', '#780C38FF', '#B47454FF', '#CCC4B0FF', '#A49474FF', '#88504CFF', '#08202CFF', '#CC0814FF', '#000000FF', '#280000FF', '#00385CFF', '#000004FF', '#000000FF']",The R package: {palettesForR},qualitative,discrete-qualitative
Bedroom,"['#A2A63FFF', '#A67F0AFF', '#A6710FFF', '#8C6D46FF', '#731D0AFF']",The R package: {vangogh},qualitative,discrete-qualitative
Benedictus,"['#9A133DFF', '#B93961FF', '#D8527CFF', '#F28AAAFF', '#F9B4C9FF', '#F9E0E8FF', '#FFFFFFFF', '#EAF3FFFF', '#C5DAF6FF', '#A1C2EDFF', '#6996E3FF', '#4060C8FF', '#1A318BFF']",The R package: {MetBrewer},qualitative,discrete-qualitative
Berlin,"['#7FBFF5FF', '#75B9F1FF', '#6AB4EDFF', '#5FAFEAFF', '#53AAE7FF', '#45A5E3FF', '#34A0E0FF', '#1C9BDDFF', '#0096DAFF', '#0091D5FF', '#008CCEFF', '#0087C7FF', '#0082C0FF', '#007DB9FF', '#0078B2FF', '#0074ACFF', '#006FA6FF', '#006B9FFF', '#006699FF', '#006293FF', '#005E8DFF', '#005A88FF', '#005682FF', '#00527DFF', '#004E77FF', '#004B72FF', '#00476DFF', '#004368FF', '#004063FF', '#003D5EFF', '#003A5AFF', '#003755FF', '#003451FF', '#00314CFF', '#002E48FF', '#002B44FF', '#002940FF', '#00263CFF', '#002439FF', '#002235FF', '#022031FF', '#031E2EFF', '#051C2BFF', '#071A27FF', '#091824FF', '#0B1620FF', '#0C151DFF', '#0E1319FF', '#0F1215FF', '#101112FF', '#121111FF', '#161110FF', '#1A1110FF', '#1D1110FF', '#211110FF', '#241211FF', '#271211FF', '#2A1312FF', '#2E1413FF', '#311513FF', '#341615FF', '#381816FF', '#3B1917FF', '#3F1B18FF', '#431D1AFF', '#471E1CFF', '#4B201DFF', '#4F221FFF', '#532421FF', '#572723FF', '#5C2925FF', '#612B28FF', '#652E2AFF', '#6A302CFF', '#6F332FFF', '#753632FF', '#7A3934FF', '#7F3C37FF', '#853F3AFF', '#8A423DFF', '#904540FF', '#964843FF', '#9C4C46FF', '#A24F49FF', '#A9534DFF', '#AF5650FF', '#B65A54FF', '#BC5E57FF', '#C3625BFF', '#CA665FFF', '#D16A63FF', '#D76F68FF', '#DB756EFF', '#DF7B75FF', '#E3817BFF', '#E78882FF', '#EB8E89FF', '#F09590FF', '#F49B97FF', '#F8A29EFF']",The R package: {grDevices},diverging-1,discrete-diverging
Berry,"['#B25D91FF', '#CB87B4FF', '#EFC7E6FF', '#1BB6AFFF', '#088BBEFF', '#172869FF']",The R package: {LaCroixColoR},diverging,discrete-diverging
Bgold,"['#ECD814FF', '#ECD814FF', '#ECD814FF', '#ECD414FF', '#ECD414FF', '#ECD018FF', '#ECD018FF', '#E8CC18FF', '#E8CC18FF', '#E8CC18FF', '#E8C818FF', '#E8C818FF', '#E8C418FF', '#E8C418FF', '#E4C018FF', '#E4C01CFF', '#E4BC1CFF', '#E4BC1CFF', '#E4B81CFF', '#E4B81CFF', '#E4B81CFF', '#E0B41CFF', '#E0B41CFF', '#E0B01CFF', '#E0B01CFF', '#E0AC20FF', '#E0AC20FF', '#E0A820FF', '#E0A820FF', '#DCA420FF', '#DCA420FF', '#DCA420FF', '#DCA020FF', '#DCA020FF', '#DC9C20FF', '#DC9C24FF', '#D89824FF', '#D89824FF', '#D89424FF', '#D89424FF', '#D89024FF', '#D89024FF', '#D89024FF', '#D48C24FF', '#D48C24FF', '#D48828FF', '#D48828FF', '#D48428FF', '#D48428FF', '#D48028FF', '#D08028FF', '#D07C28FF', '#D07C28FF', '#D07C28FF', '#D07828FF', '#D0782CFF', '#D0742CFF', '#CC742CFF', '#CC702CFF', '#CC702CFF', '#CC6C2CFF', '#CC6C2CFF', '#CC682CFF', '#CC682CFF', '#CC682CFF', '#C86C28FF', '#C86C28FF', '#C86C28FF', '#C86C28FF', '#C86C28FF', '#C86C28FF', '#C86C28FF', '#C87028FF', '#C87028FF', '#C87024FF', '#C87024FF', '#C87024FF', '#C87024FF', '#C87024FF', '#C87424FF', '#C87424FF', '#C87424FF', '#C87424FF', '#C87424FF', '#C47420FF', '#C47420FF', '#C47820FF', '#C47820FF', '#C47820FF', '#C47820FF', '#C47820FF', '#C47820FF', '#C47820FF', '#C47C20FF', '#C47C1CFF', '#C47C1CFF', '#C47C1CFF', '#C47C1CFF', '#C47C1CFF', '#C47C1CFF', '#C4801CFF', '#C4801CFF', '#C4801CFF', '#C4801CFF', '#C08018FF', '#C08018FF', '#C08018FF', '#C08418FF', '#C08418FF', '#C08418FF', '#C08418FF', '#C08418FF', '#C08418FF', '#C08414FF', '#C08814FF', '#C08814FF', '#C08814FF', '#C08814FF', '#C08814FF', '#C08814FF', '#C08814FF', '#C08C14FF', '#C08C14FF', '#BC8C10FF', '#BC8C10FF', '#BC8C10FF', '#BC8C10FF', '#BC8C10FF', '#BC9010FF', '#BC9010FF', '#BC9010FF', '#BC9010FF', '#BC9010FF', '#BC900CFF', '#BC900CFF', '#BC940CFF', '#BC940CFF', '#BC940CFF', '#BC940CFF', '#BC940CFF', '#BC940CFF', '#BC940CFF', '#BC940CFF', '#94883CFF', '#707C6CFF', '#748070FF', '#748070FF', '#748074FF', '#788074FF', '#788078FF', '#788078FF', '#78807CFF', '#7C847CFF', '#7C8480FF', '#7C8480FF', '#7C8484FF', '#808484FF', '#808488FF', '#808488FF', '#84888CFF', '#84888CFF', '#848890FF', '#848890FF', '#888894FF', '#888894FF', '#888898FF', '#888898FF', '#8C8C9CFF', '#8C8C9CFF', '#8C8CA0FF', '#908CA0FF', '#908CA4FF', '#908CA4FF', '#908CA8FF', '#9490A8FF', '#9490ACFF', '#9490ACFF', '#9490B0FF', '#9890B0FF', '#9890B4FF', '#9890B4FF', '#9C94B8FF', '#9C94B8FF', '#9C94BCFF', '#9C94BCFF', '#A094C0FF', '#A094C0FF', '#A094C4FF', '#A094C4FF', '#A498C8FF', '#A498C8FF', '#A498CCFF', '#A898CCFF', '#A898D0FF', '#A898D0FF', '#A898D4FF', '#AC9CD4FF', '#AC9CD8FF', '#AC9CD8FF', '#AC9CDCFF', '#B09CDCFF', '#B09CE0FF', '#B09CE0FF', '#B09CE0FF', '#A898DCFF', '#A494D8FF', '#9C94D4FF', '#9890D4FF', '#9490D0FF', '#8C8CCCFF', '#888CCCFF', '#8488C8FF', '#7C88C4FF', '#7884C4FF', '#7484C0FF', '#6C80BCFF', '#6880BCFF', '#647CB8FF', '#5C7CB4FF', '#5878B4FF', '#5078B0FF', '#4C74ACFF', '#4874ACFF', '#4070A8FF', '#3C70A4FF', '#386CA4FF', '#306CA0FF', '#2C689CFF', '#28689CFF', '#206498FF', '#1C6494FF', '#186094FF', '#106090FF', '#0C5C8CFF', '#085C8CFF', '#0C5888FF', '#105888FF', '#145888FF', '#145884FF', '#185484FF', '#1C5484FF', '#1C5480FF', '#205480FF', '#245480FF', '#245080FF', '#28507CFF', '#2C507CFF', '#2C507CFF', '#304C78FF', '#344C78FF', '#344C78FF', '#384C74FF', '#3C4C74FF', '#3C4874FF', '#404874FF', '#444870FF']",The R package: {palettesForR},qualitative,discrete-qualitative
BillyApple,"['#F24D98FF', '#813B7CFF', '#59D044FF', '#F3A002FF', '#F2F44DFF']",The R package: {lisa},qualitative,discrete-qualitative
